iter	MultiClass
665	0.5739185075
666	0.5738063891
667	0.5735743215
668	0.5735003848
669	0.573462115
670	0.5733837832
671	0.5732751453
672	0.5730885588
673	0.5730539335
674	0.572942756
675	0.5728210989
676	0.5726688112
677	0.572617593
678	0.5725576729
679	0.5725205572
680	0.5722416998
681	0.572109746
682	0.5720069418
683	0.5719118569
684	0.5718317821
685	0.571711805
686	0.571665817
687	0.5716342662
688	0.5715727578
689	0.5714501957
690	0.571392025
691	0.5711253805
692	0.5711025279
693	0.5710456426
694	0.5708789965
695	0.5708411823
696	0.5707022386
697	0.5706815461
698	0.5706083128
699	0.5704692755
700	0.5702842994
701	0.5701989764
702	0.5701566394
703	0.5701026041
704	0.5700729304
705	0.5700321122
706	0.5700053602
707	0.5699514681
708	0.5699129454
709	0.5697519694
710	0.5696869736
711	0.5694166609
712	0.569375185
713	0.5693305316
714	0.5692243377
715	0.5691251562
716	0.5687870049
717	0.5687640537
718	0.5687226944
719	0.5686888159
720	0.568656219
721	0.5686058075
722	0.5683993871
723	0.5682943797
724	0.5682101995
725	0.5680805904
726	0.5679336943
727	0.5678639772
728	0.5678088538
729	0.5677502232
730	0.5676998522
731	0.5675556254
732	0.5673491448
733	0.5671778876
734	0.5671511392
735	0.5671242662
736	0.566999901
737	0.5669579897
738	0.5669394854
739	0.5667302633
740	0.5666444924
741	0.5664817304
742	0.566424563
743	0.5660858451
744	0.5659834913
745	0.5657383416
746	0.5656667126
747	0.5655512366
748	0.5655245322
749	0.5654999103
750	0.5653080853
751	0.5652381871
752	0.5651872
753	0.5650350947
754	0.5649792812
755	0.5647980927
756	0.5647349464
757	0.5646268948
758	0.564442641
759	0.5643503197
760	0.5642192646
761	0.5641603096
762	0.5640162175
763	0.5639344029
764	0.5638428475
765	0.5637673779
766	0.5636024288
767	0.5634954598
768	0.5633127383
769	0.5632597868
770	0.5631966881
771	0.5630805159
772	0.562968483
773	0.5628392411
774	0.5627962566
775	0.5626761619
776	0.5626280691
777	0.5625249606
778	0.562455359
779	0.5622589474
780	0.5620482794
781	0.5619523336
782	0.5619247174
783	0.5618711415
784	0.5617423745
785	0.5615803871
786	0.561465328
787	0.5613734683
788	0.5613556403
789	0.5612378891
790	0.5611583938
791	0.560981242
792	0.560944717
793	0.560916822
794	0.5608920586
795	0.5608489115
796	0.5607367583
797	0.5607057555
798	0.5605720442
799	0.5604726738
800	0.5603817779
801	0.5603503639
802	0.5603242809
803	0.5602275619
804	0.5601321758
805	0.5600332121
806	0.5599729477
807	0.5599218663
808	0.5598970156
809	0.5597943464
810	0.5597661475
811	0.5596936575
812	0.5596717922
813	0.5596524195
814	0.5594237587
815	0.5593614833
816	0.5593207761
817	0.5592615576
818	0.5592434308
819	0.5591329694
820	0.5589960807
821	0.5589770777
822	0.5588641649
823	0.5588339739
824	0.5587933658
825	0.5587062153
826	0.5585891819
827	0.5584750126
828	0.558435431
829	0.5583294051
830	0.5583023084
831	0.5582795652
832	0.5581420644
833	0.5580812276
834	0.5580624496
835	0.557987123
836	0.5578467245
837	0.5577316361
838	0.5576452522
839	0.5576069142
840	0.557505983
841	0.5573982321
842	0.5573145542
843	0.5572576784
844	0.5570801405
845	0.5570026567
846	0.5569238803
847	0.5568388175
848	0.5568255095
849	0.5566554342
850	0.5566079898
851	0.5565268154
852	0.5564003814
853	0.5563764601
854	0.5562782957
855	0.5561535539
856	0.5559489642
857	0.5558229652
858	0.5557168177
859	0.5556980822
860	0.5556624164
861	0.5555780203
862	0.555439116
863	0.5554077407
864	0.555204557
865	0.5550679853
866	0.5549505046
867	0.5549213426
868	0.5548592815
869	0.554688396
870	0.5546598816
871	0.5546336064
872	0.554586126
873	0.5545567824
874	0.5545071433
875	0.5543921016
876	0.5543630404
877	0.5542651013
878	0.5541400709
879	0.5540921838
880	0.5540053713
881	0.5539398425
882	0.5538373479
883	0.5536550493
884	0.5536214787
885	0.5535207075
886	0.5534438402
887	0.5533636721
888	0.5533325224
889	0.5533219897
890	0.5531912538
891	0.5530835168
892	0.5530673813
893	0.5528443936
894	0.5527455164
895	0.5526611166
896	0.5526402395
897	0.5524892439
898	0.552401478
899	0.552303118
900	0.5522354978
901	0.5521846076
902	0.5520290598
903	0.5519576545
904	0.551918938
905	0.551821584
906	0.5516339005
907	0.5515663596
908	0.5514786286
909	0.5514120855
910	0.5513546122
911	0.5512054128
912	0.5511272078
913	0.5510366763
914	0.5508765731
915	0.5508470914
916	0.5508280573
917	0.5508155374
918	0.5507144129
919	0.5506251317
920	0.550485814
921	0.5504280982
922	0.550337002
923	0.5502718364
924	0.5501449808
925	0.5501128783
926	0.5500159946
927	0.5499094967
928	0.5498467356
929	0.5497310873
930	0.5495708399
931	0.5494993104
932	0.5494600448
933	0.5494230652
934	0.5493211358
935	0.5493029672
936	0.5492518619
937	0.5492235206
938	0.5491174417
939	0.5490479635
940	0.5490133364
941	0.5489695313
942	0.5488998557
943	0.5488747273
944	0.5488508281
945	0.5487114317
946	0.5484995155
947	0.5484457632
948	0.5482412461
949	0.5480993146
950	0.5480677045
951	0.5480175255
952	0.5479814589
953	0.5479265795
954	0.5477940115
955	0.5476663465
956	0.5475549537
957	0.5475160358
958	0.5473979262
959	0.5472998372
960	0.5472288461
961	0.547141516
962	0.5470295623
963	0.5469047886
964	0.5467762683
965	0.5467378668
966	0.5467126071
967	0.5466561525
968	0.5465691262
969	0.5464998782
970	0.5464811445
971	0.5463856615
972	0.5462804006
973	0.5462587739
974	0.5462272553
975	0.5462128146
976	0.5461180233
977	0.546042299
978	0.545942361
979	0.5458353619
980	0.5457875912
981	0.5457087251
982	0.5455641414
983	0.5455128165
984	0.5454354259
985	0.5452547403
986	0.545115424
987	0.5449989613
988	0.5449713946
989	0.5449348881
990	0.5449188735
991	0.5449029335
992	0.5446963413
993	0.5446760231
994	0.544568536
995	0.5444488672
996	0.5444153639
997	0.5443076069
998	0.5442441777
999	0.5441077201
